zdroj,ID,titul_verbatim,normed,gpt_ais,obal,formát,typ materiálu,zvuk / sound (on box),zvukař_cleaned,díl,ozvučen dne,středisko,úsek,aparatura,materiál,číslo krabice,obsah_verbatim,recording_technical_cs,recording_secondary_cs,recording_tertiary_cs,recording_content_cs,recording_has_multiple_content,recording_language
NFA,p-100945,O poctivém matějovi,O poctivém matějovi,O poctivém Matějovi,metal box,35 mm,MB - ORWO (35 mm),ing. Děták,Jaroslav Děták,1,18.01.90,3242,č.f. 429502,-,-,-,mix španělská v.,mix,verze,,,no,es
NFA,p-101383,O princezně furieně,O princezně furieně,O princezně Furieně,paper box,35 mm,ORWO 206 LN,-,,-,-,-,-,-,-,-,pomocný mix,mix,pomocný,,,no,
NFA,p-100017,O princezně furieně,O princezně furieně,O princezně Furieně,paper box,35 mm,ORWO 206 LN,-,,1,05.05.1987,3242,-,-,-,119,mix španělsky,mix,,,,no,es
NFA,p-100878,O princezně furieně,O princezně furieně,O princezně Furieně,paper box,35 mm,ORWO 206 LN,-,,1,22.12.86,-,-,Evropa,-,-,mix,mix,,,,no,
NFA,p-100906,O rybáři který nikdy nic nechytil,O rybáři který nikdy nic nechytil,O rybáři který nikdy nic nechytil,metal box,35 mm,ORWO 202,K. Cajthaml,Karel Cajthaml,-,01.10.1974,3242,č.f. 423514,-,-,-,mezmix,mezinárodní pás,,,,no,
NFA,p-100887,O rybáři který nikdy nic nechytil,O rybáři který nikdy nic nechytil,O rybáři který nikdy nic nechytil,metal box,35 mm,ORWO 202,K. Cajthaml,Karel Cajthaml,-,1.10.84,3242,č.f. 422514,-,-,-,mix,mix,,,,no,
NFA,p-100487,"O rybáři, který nikdy nic nechytil","O rybáři, který nikdy nic nechytil",O rybáři který nikdy nic nechytil,paper box,"1/​4""",PEM 468,-,,-,24.–25.09.84,-,-,-,-,-,-,,,,,no,
NFA,p-101049,O smutné princezně,O smutné princezně,O smutné princezně,metal box,35 mm,MB - Pyral (35 mm),Ing. Kacian,Jan Kacian,-,5.6.1992,59,č.f. 21747,-,-,-,mix anglická v.,mix,verze,,,no,en
NFA,p-101327,O smutné princezně,O smutné princezně,O smutné princezně,metal box,35 mm,MB - ORWO (35 mm),-,,1,21.2.1991,-,-,studio II,-,-,"mezinárodní pás ruchy, hudba",mezinárodní pás,,,hudba; ruchy,yes,
MWA,P204423,O statečném kováři,O statečném kováři,O statečném kováři,metal can,35 mm,ORWO,,#N/A,7;8,3.8.1988,,,MCI,,,mez. mix pás hluky,mezinárodní pás,,,ruchy,no,
MWA,P204424,O statečném kováři,O statečném kováři,O statečném kováři,metal can,35 mm,ORWO,,#N/A,9,3.8.1988,,,MCI,,,mez. mix pás hluky,mezinárodní pás,,,ruchy,no,
MWA,P204425,O statečném kováři,O statečném kováři,O statečném kováři,metal can,35 mm,ORWO,,#N/A,3;4,3.8.1988,,,MCI,,,mez. mix pás hudba,mezinárodní pás,,,hudba,no,
MWA,P204427,O statečném kováři,O statečném kováři,O statečném kováři,metal can,35 mm,ORWO,,#N/A,5;6,3.8.1988,,,MCI,,,mez. mix pás hudba,mezinárodní pás,,,hudba,no,
MWA,P204426,O statečném kováři,O statečném kováři,O statečném kováři,metal can,35 mm,ORWO,,#N/A,1;9,3.8.1988,,,MCI,,,mez. mix pás hudba se zpěvem,mezinárodní pás,,,hudba; zpěv,yes,
NFA,p-100418,O třech písmenkách,O třech písmenkách,O třech písmenkách,paper box,"1/​4""",PER 555,-,,-,24.3.1975,-,-,-,-,-,synchron,synchron,,,,no,
MWA,P204204,O utrženém sluchátku,O utrženém sluchátku,O utrženém sluchátku,metal can,35 mm,ORWO,Ing. Astrug,Bejnamin Astrug,6,18.4.1984,,,,,,mez. mix,mezinárodní pás,,,,no,
